what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1253559294159
locale,sysinfo,,,"en_US",1253559294159
processors,sysinfo,,,"2",1253559294161
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253559294161
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1253559294161
java.specification.name,sysinfo,,,"Java Platform API Specification",1253559294161
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253559294161
java.specification.version,sysinfo,,,"1.6",1253559294161
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253559294161
java.version,sysinfo,,,"1.6.0_16",1253559294161
java.vm.info,sysinfo,,,"mixed mode, sharing",1253559294161
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253559294161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253559294161
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253559294161
java.vm.specification.version,sysinfo,,,"1.0",1253559294161
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253559294161
java.vm.version,sysinfo,,,"14.2-b01",1253559294161
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559301788
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559305400
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1253559306362
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1253559307762
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1253559307945
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1253559309294
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559309704
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1253559315148
