what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253559674952
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559693746
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1253559695407
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1253559695407
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559695499
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253559700545
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559703357
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.properties",1253559776126
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559776215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559779101
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.properties",1253559850621
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559850716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559853643
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559855194
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253559857780
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1253559868966
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559889425
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559904806
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559916460
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559984152
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253559987079
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253559997658
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1253560033479
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1253560033479
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253560033908
