what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1253556069563
arch,sysinfo,,,"x86",1253556069563
ws,sysinfo,,,"gtk",1253556069563
locale,sysinfo,,,"en_US",1253556069563
processors,sysinfo,,,"2",1253556069564
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253556069564
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1253556069564
java.specification.name,sysinfo,,,"Java Platform API Specification",1253556069564
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253556069564
java.specification.version,sysinfo,,,"1.6",1253556069564
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253556069564
java.version,sysinfo,,,"1.6.0_16",1253556069564
java.vm.info,sysinfo,,,"mixed mode, sharing",1253556069564
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253556069564
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253556069564
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253556069564
java.vm.specification.version,sysinfo,,,"1.0",1253556069564
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253556069564
java.vm.version,sysinfo,,,"14.2-b01",1253556069564
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1253556080853
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200906161748,"org.eclipse.cdt.managedbuilder.core",1253556080891
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200906161748,"org.eclipse.cdt.managedbuilder.gnu.ui",1253556081100
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253556081464
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253556098391
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253556103679
