what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui.views.MakeView",1253560471434
activated,view,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui.views.MakeView",1253560471496
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253560503003
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1253560513378
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1253560513432
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1253560513437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253560521705
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1253560559090
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253561033561
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561033758
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1253561093047
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253561099565
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253561099806
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253561099943
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1253561110610
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1253561155279
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1253561156983
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253561160342
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253561164120
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561169465
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561188130
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561205009
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561206656
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253561213510
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1253561223576
