what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1253567342044
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1253567342045
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1253567342046
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1253567342046
os,sysinfo,,,"linux",1253567342050
arch,sysinfo,,,"x86",1253567342050
ws,sysinfo,,,"gtk",1253567342050
locale,sysinfo,,,"en_US",1253567342050
processors,sysinfo,,,"2",1253567342051
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253567342051
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1253567342051
java.specification.name,sysinfo,,,"Java Platform API Specification",1253567342051
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567342051
java.specification.version,sysinfo,,,"1.6",1253567342051
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567342051
java.version,sysinfo,,,"1.6.0_16",1253567342051
java.vm.info,sysinfo,,,"mixed mode, sharing",1253567342051
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253567342051
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253567342051
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567342051
java.vm.specification.version,sysinfo,,,"1.0",1253567342051
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567342051
java.vm.version,sysinfo,,,"14.2-b01",1253567342051
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253567345498
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1253567351137
